u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,access,ref,tunnel,bridge,width,junction,Groups
42435538,11038072433,0,5671404,residential,,25 mph,Willett Street,True,False,175.08715383987547,"LINESTRING (-73.9825651 40.7164371, -73.9826004 40.7163681, -73.9828615 40.7158586, -73.983286 40.7150498, -73.9833262 40.714972)",335.4014627911263,7.11198711386041,0.0042606779329918,,,,,,,C
42435538,42435541,0,799407328,residential,,25 mph,Delancey Street,True,False,76.59564218961043,"LINESTRING (-73.9825651 40.7164371, -73.9824922 40.7164149, -73.9817219 40.7161801)",205.9496217593432,4.391604190702008,0.0019746709605678,,,,,,,C
42435541,42429811,0,5673427,residential,2,25 mph,Sheriff Street,True,False,64.42019342240957,"LINESTRING (-73.9817219 40.7161801, -73.9814951 40.7166098, -73.9814834 40.716632, -73.981438 40.716718)",218.125070526544,4.713181604382763,0.000817080936093,,,,,,,C
42435541,42435544,0,799407328,residential,,25 mph,Delancey Street,True,False,76.60324320615184,"LINESTRING (-73.9817219 40.7161801, -73.9809541 40.7159463, -73.9808785 40.7159233)",662.1563666989636,11.218652820940273,0.0011575900244748,,,,,,,C
42435544,42435550,0,799407328,residential,,25 mph,Delancey Street,True,False,151.06313360390106,"LINESTRING (-73.9808785 40.7159233, -73.9800361 40.7156668, -73.9793321 40.7154524, -73.9792153 40.7154169)",278.7881964353549,4.739433646147445,0.0016646850106032,,,,,,,C
42435550,42452117,0,5672093,residential,2,25 mph,Lewis Street,False,True,172.45977075285376,"LINESTRING (-73.9792153 40.7154169, -73.979255 40.71534, -73.9794566 40.7149498, -73.9794886 40.7148881, -73.9799087 40.7140759, -73.9799617 40.7139728)",172.45977075285376,1.7551792208146575,0.0008119154818993,,,,,,,C
42435550,42429814,0,46349393,residential,,25 mph,Lewis Street,True,False,64.86179342530453,"LINESTRING (-73.9792153 40.7154169, -73.9789716 40.7158696, -73.9789246 40.715957)",364.9895366139514,5.012135180907875,0.0017308967416314,,,,,,,C
42435550,42435553,0,799407328,residential,,25 mph,Delancey Street,True,False,77.03374789876132,"LINESTRING (-73.9792153 40.7154169, -73.979111 40.7153851, -73.9783672 40.7151586)",669.6908794345624,9.774347472327694,0.0005649128540918,,,,,,,C
42435553,42435556,0,"[1036546555, 908825796, 47796510]",residential,"['1', '2']",25 mph,Delancey Street,True,False,74.07749748375511,"LINESTRING (-73.9783672 40.7151586, -73.9780428 40.7150598, -73.9777756 40.7149785, -73.9777493 40.7149705, -73.9776978 40.7149376, -73.977594 40.7148601)",218.3554213760928,5.809543131962036,0.0008949736374001,,,,,,,C
42435556,42446424,0,5671413,residential,,25 mph,Mangin Street,True,False,77.92863705815255,"LINESTRING (-73.977594 40.7148601, -73.9774758 40.715008, -73.977278 40.7153915, -73.9772223 40.7154997)",214.50428180169536,5.977977263703676,0.0005769460144294,,,,,,,C
