osmid,y,x,street_count,highway,ref,junction,geometry
122263938,37.661129,-97.298312,3,,,,POINT (-97.298312 37.661129)
122263941,37.65915,-97.296889,4,,,,POINT (-97.296889 37.65915)
122263953,37.655489,-97.294243,3,,,,POINT (-97.294243 37.655489)
122263958,37.654747,-97.293738,3,,,,POINT (-97.293738 37.654747)
122263987,37.6500284,-97.2886684,4,traffic_signals,,,POINT (-97.2886684 37.6500284)
122264369,37.6833169,-97.2934046,3,,,,POINT (-97.2934046 37.6833169)
122264393,37.6814802,-97.2903442,3,,,,POINT (-97.2903442 37.6814802)
122264396,37.681494,-97.28997,3,,,,POINT (-97.28997 37.681494)
122264402,37.6851647,-97.2921135,3,,,,POINT (-97.2921135 37.6851647)
122264408,37.6845918,-97.2928005,3,,,,POINT (-97.2928005 37.6845918)
122265078,37.7082949,-97.2909284,4,,,,POINT (-97.2909284 37.7082949)
122265316,37.673153,-97.341978,4,,,,POINT (-97.341978 37.673153)
122265321,37.671627,-97.341973,4,,,,POINT (-97.341973 37.671627)
122265332,37.669617,-97.34198,1,turning_circle,,,POINT (-97.34198 37.669617)
122265335,37.666034,-97.341968,4,,,,POINT (-97.341968 37.666034)
122265336,37.66428,-97.341959,4,,,,POINT (-97.341959 37.66428)
122265337,37.66244,-97.341969,4,,,,POINT (-97.341969 37.66244)
122265340,37.660626,-97.341943,4,,,,POINT (-97.341943 37.660626)
122265346,37.658826,-97.34191,4,,,,POINT (-97.34191 37.658826)
122265353,37.656964,-97.341915,4,,,,POINT (-97.341915 37.656964)
122265355,37.653342,-97.341914,4,,,,POINT (-97.341914 37.653342)
122265358,37.651955,-97.341913,3,,,,POINT (-97.341913 37.651955)
122265360,37.650814,-97.341901,1,,,,POINT (-97.341901 37.650814)
122265810,37.677394,-97.286259,4,,,,POINT (-97.286259 37.677394)
122265812,37.675608,-97.28626,4,,,,POINT (-97.28626 37.675608)
122265817,37.673827,-97.286248,4,,,,POINT (-97.286248 37.673827)
122265819,37.671914,-97.286242,3,,,,POINT (-97.286242 37.671914)
122265843,37.653719,-97.286146,3,,,,POINT (-97.286146 37.653719)
122265851,37.651897,-97.286154,3,,,,POINT (-97.286154 37.651897)
122265859,37.65008,-97.286136,3,,,,POINT (-97.286136 37.65008)
122265874,37.684076,-97.287068,4,,,,POINT (-97.287068 37.684076)
122265876,37.682424,-97.287063,4,,,,POINT (-97.287063 37.682424)
122265881,37.680783,-97.287056,4,,,,POINT (-97.287056 37.680783)
122265887,37.679465,-97.287042,1,,,,POINT (-97.287042 37.679465)
122266667,37.658789,-97.352727,3,,,,POINT (-97.352727 37.658789)
122266670,37.658781,-97.353812,3,,,,POINT (-97.353812 37.658781)
122266674,37.658767,-97.355936,3,,,,POINT (-97.355936 37.658767)
122266676,37.658761,-97.357309,4,,,,POINT (-97.357309 37.658761)
122266679,37.658754,-97.358616,3,,,,POINT (-97.358616 37.658754)
122266685,37.658747,-97.359932,3,,,,POINT (-97.359932 37.658747)
122266687,37.658709,-97.366085,3,,,,POINT (-97.366085 37.658709)
122266689,37.658706,-97.366496,3,,,,POINT (-97.366496 37.658706)
122266694,37.658699,-97.367299,3,,,,POINT (-97.367299 37.658699)
122266698,37.6586918,-97.3675827,3,,,,POINT (-97.3675827 37.6586918)
122266704,37.658687,-97.368536,3,,,,POINT (-97.368536 37.658687)
122266707,37.658686,-97.36859,3,,,,POINT (-97.36859 37.658686)
122266709,37.658661,-97.370973,4,,,,POINT (-97.370973 37.658661)
122266736,37.658628,-97.37655,3,,,,POINT (-97.37655 37.658628)
122266738,37.658627,-97.377595,3,,,,POINT (-97.377595 37.658627)
122267465,37.657693,-97.351145,1,,,,POINT (-97.351145 37.657693)
122267470,37.657101,-97.351021,3,,,,POINT (-97.351021 37.657101)
122267477,37.65614,-97.350786,3,,,,POINT (-97.350786 37.65614)
122267482,37.655316,-97.350593,3,,,,POINT (-97.350593 37.655316)
122267502,37.651583,-97.349063,3,,,,POINT (-97.349063 37.651583)
122267538,37.651588,-97.348707,3,,,,POINT (-97.348707 37.651588)
122267544,37.6506268,-97.3487221,3,,,,POINT (-97.3487221 37.6506268)
122267545,37.6489562,-97.3487044,4,,,,POINT (-97.3487044 37.6489562)
122268074,37.703901,-97.30132,1,,,,POINT (-97.30132 37.703901)
122268077,37.704614,-97.301329,4,,,,POINT (-97.301329 37.704614)
122268083,37.706421,-97.301328,4,,,,POINT (-97.301328 37.706421)
122268093,37.7082128,-97.301324,3,,,,POINT (-97.301324 37.7082128)
122268101,37.710047,-97.301315,4,,,,POINT (-97.301315 37.710047)
122268109,37.711878,-97.301327,4,,,,POINT (-97.301327 37.711878)
122268122,37.713704,-97.301349,4,,,,POINT (-97.301349 37.713704)
122268130,37.7155124,-97.3013462,4,,,,POINT (-97.3013462 37.7155124)
122268135,37.717361,-97.301344,4,,,,POINT (-97.301344 37.717361)
122268139,37.719676,-97.301588,3,,,,POINT (-97.301588 37.719676)
122268150,37.722747,-97.301362,4,,,,POINT (-97.301362 37.722747)
122268176,37.69005,-97.301548,3,,,,POINT (-97.301548 37.69005)
122268220,37.690051,-97.301252,3,,,,POINT (-97.301252 37.690051)
122268232,37.695407,-97.3012796,4,,,,POINT (-97.3012796 37.695407)
122268234,37.697362,-97.301281,4,,,,POINT (-97.301281 37.697362)
122268250,37.700065,-97.301285,3,,,,POINT (-97.301285 37.700065)
122268253,37.700981,-97.301292,3,,,,POINT (-97.301292 37.700981)
122268615,37.687668,-97.369719,3,,,,POINT (-97.369719 37.687668)
122268628,37.693255,-97.36976,3,,,,POINT (-97.36976 37.693255)
122268666,37.714055,-97.370351,3,,,,POINT (-97.370351 37.714055)
122268670,37.715699,-97.370368,4,,,,POINT (-97.370368 37.715699)
122268675,37.716545,-97.370376,3,,,,POINT (-97.370376 37.716545)
122268677,37.718666,-97.370399,1,turning_circle,,,POINT (-97.370399 37.718666)
122268806,37.709959,-97.370189,3,,,,POINT (-97.370189 37.709959)
122268812,37.712237,-97.370203,3,,,,POINT (-97.370203 37.712237)
122269036,37.676145,-97.357446,1,turning_circle,,,POINT (-97.357446 37.676145)
122269037,37.675342,-97.357446,4,,,,POINT (-97.357446 37.675342)
122269043,37.673257,-97.357425,4,,,,POINT (-97.357425 37.673257)
