osmid,y,x,street_count,highway,ref,junction,railway,geometry
251549171,43.6255649,1.4430714,3,,,,,POINT (1.4430714 43.6255649)
251549176,43.6249856,1.4456451,3,,,,,POINT (1.4456451 43.6249856)
251605888,43.5951682,1.4162481,3,,,,,POINT (1.4162481 43.5951682)
251833638,43.6244883,1.4497826,3,,,,,POINT (1.4497826 43.6244883)
251833651,43.6248468,1.4512159,3,,,,,POINT (1.4512159 43.6248468)
251833700,43.6277578,1.4480934,1,turning_circle,,,,POINT (1.4480934 43.6277578)
251833703,43.6282762,1.4478652,3,,,,,POINT (1.4478652 43.6282762)
251833706,43.6286373,1.4443668,3,,,,,POINT (1.4443668 43.6286373)
251833711,43.6263369,1.4537387,3,,,,,POINT (1.4537387 43.6263369)
251833717,43.6274461,1.4531163,1,,,,,POINT (1.4531163 43.6274461)
251834518,43.6360758,1.4480082,3,,,,,POINT (1.4480082 43.6360758)
251834519,43.6363082,1.4465517,3,,,,,POINT (1.4465517 43.6363082)
251834521,43.6364869,1.4441163,3,,,,,POINT (1.4441163 43.6364869)
251834523,43.6303782,1.4472087,3,,,,,POINT (1.4472087 43.6303782)
251834529,43.6317694,1.4438117,3,,,,,POINT (1.4438117 43.6317694)
251834533,43.6318303,1.4478225,3,,,,,POINT (1.4478225 43.6318303)
251834534,43.6317467,1.4496577,3,,,,,POINT (1.4496577 43.6317467)
251837167,43.6363476,1.4585524,3,,,,,POINT (1.4585524 43.6363476)
251837169,43.6373164,1.457178,3,,,,,POINT (1.457178 43.6373164)
251837189,43.6410909,1.4601903,3,,,,,POINT (1.4601903 43.6410909)
251837200,43.6385553,1.4652945,3,,,,,POINT (1.4652945 43.6385553)
251837214,43.6376225,1.4628706,1,turning_circle,,,,POINT (1.4628706 43.6376225)
251837216,43.6364376,1.462077,1,,,,,POINT (1.462077 43.6364376)
251837217,43.6364745,1.4629202,3,,,,,POINT (1.4629202 43.6364745)
251837218,43.6361533,1.4641606,3,,,,,POINT (1.4641606 43.6361533)
251837219,43.6374757,1.4633831,3,,,,,POINT (1.4633831 43.6374757)
251837220,43.6376142,1.4586923,3,,,,,POINT (1.4586923 43.6376142)
251837222,43.6378307,1.4590843,1,,,,,POINT (1.4590843 43.6378307)
251837225,43.6371806,1.4599855,3,,,,,POINT (1.4599855 43.6371806)
251837229,43.638892,1.4558596,1,,,,,POINT (1.4558596 43.638892)
251837231,43.6373788,1.4572539,3,,,,,POINT (1.4572539 43.6373788)
251837236,43.6395994,1.4592975,3,,,,,POINT (1.4592975 43.6395994)
251837237,43.6388468,1.4565344,3,,,,,POINT (1.4565344 43.6388468)
251837247,43.6401697,1.455703,3,,,,,POINT (1.455703 43.6401697)
251837255,43.6404105,1.4518217,3,,,,,POINT (1.4518217 43.6404105)
251837326,43.6376786,1.4474843,3,,,,,POINT (1.4474843 43.6376786)
251837336,43.6396932,1.4515888,1,,,,,POINT (1.4515888 43.6396932)
251837632,43.640914,1.4463957,3,,,,,POINT (1.4463957 43.640914)
251837639,43.6401589,1.4444553,4,mini_roundabout,,,,POINT (1.4444553 43.6401589)
251837640,43.6400729,1.4462721,3,,,,,POINT (1.4462721 43.6400729)
251837886,43.584435,1.4318716,4,,,,,POINT (1.4318716 43.584435)
251837892,43.5838866,1.4305108,3,,,,,POINT (1.4305108 43.5838866)
251837894,43.5836437,1.4307296,3,,,,,POINT (1.4307296 43.5836437)
251837898,43.5821369,1.4295816,1,turning_circle,,,,POINT (1.4295816 43.5821369)
251837900,43.5832752,1.430096,3,,,,,POINT (1.430096 43.5832752)
251997482,43.6401417,1.4555746,3,,,,,POINT (1.4555746 43.6401417)
251997493,43.6405098,1.4557811,3,,,,,POINT (1.4557811 43.6405098)
251997568,43.6396894,1.4628172,1,,,,,POINT (1.4628172 43.6396894)
251997569,43.6394664,1.4637874,3,,,,,POINT (1.4637874 43.6394664)
252267336,43.5994773,1.4453698,3,,,,,POINT (1.4453698 43.5994773)
252267349,43.5984706,1.4450144,3,,,,,POINT (1.4450144 43.5984706)
252267354,43.5952626,1.4431854,3,,,,,POINT (1.4431854 43.5952626)
252267355,43.595323,1.4440812,3,,,,,POINT (1.4440812 43.595323)
252267386,43.5977676,1.4410505,2,,,,,POINT (1.4410505 43.5977676)
252771188,43.6310044,1.4352828,1,,,,,POINT (1.4352828 43.6310044)
252771192,43.6312644,1.4368597,3,,,,,POINT (1.4368597 43.6312644)
252771215,43.6307323,1.4365193,2,,,,,POINT (1.4365193 43.6307323)
252771221,43.6304351,1.4363581,1,,,,,POINT (1.4363581 43.6304351)
252795433,43.6358263,1.4332532,3,,,,,POINT (1.4332532 43.6358263)
252795438,43.6346704,1.4331875,3,,,,,POINT (1.4331875 43.6346704)
252795444,43.6354526,1.4356862,2,,,,,POINT (1.4356862 43.6354526)
252795509,43.6381914,1.4419019,1,,,,,POINT (1.4419019 43.6381914)
252795552,43.6402802,1.4422371,3,,,,,POINT (1.4422371 43.6402802)
252795559,43.6402157,1.4421358,3,,,,,POINT (1.4421358 43.6402157)
252795565,43.6386995,1.4431925,1,,,,,POINT (1.4431925 43.6386995)
252795628,43.640675,1.4391882,3,,,,,POINT (1.4391882 43.640675)
252795629,43.6406932,1.4400783,3,,,,,POINT (1.4400783 43.6406932)
252795634,43.6428431,1.4418719,3,,,,,POINT (1.4418719 43.6428431)
252795754,43.6402166,1.4435946,3,,,,,POINT (1.4435946 43.6402166)
252795758,43.6417113,1.4436598,3,,,,,POINT (1.4436598 43.6417113)
252795761,43.6416913,1.4444631,3,,,,,POINT (1.4444631 43.6416913)
252804061,43.6369847,1.4352824,1,,,,,POINT (1.4352824 43.6369847)
252804098,43.6361285,1.4332853,3,,,,,POINT (1.4332853 43.6361285)
252809796,43.6416658,1.4334214,3,,,,,POINT (1.4334214 43.6416658)
252809896,43.6233759,1.4343536,3,,,,,POINT (1.4343536 43.6233759)
252809897,43.6227304,1.4346154,3,,,,,POINT (1.4346154 43.6227304)
252809898,43.6230333,1.4369192,3,,,,,POINT (1.4369192 43.6230333)
252809899,43.6225877,1.4369449,3,,,,,POINT (1.4369449 43.6225877)
252809900,43.6223192,1.4348328,3,,,,,POINT (1.4348328 43.6223192)
252809901,43.6211284,1.4354533,3,,,,,POINT (1.4354533 43.6211284)
252809902,43.6213034,1.4370431,3,,,,,POINT (1.4370431 43.6213034)
252933941,43.6150688,1.4209681,4,traffic_signals,,,,POINT (1.4209681 43.6150688)
252933944,43.6152688,1.4227454,3,,,,,POINT (1.4227454 43.6152688)
252933956,43.6154085,1.4234933,3,,,,,POINT (1.4234933 43.6154085)
252933957,43.6136986,1.4240111,4,,,,,POINT (1.4240111 43.6136986)
