u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,tunnel,access,junction,Groups
69228789,69279719,0,44450085,residential,2,25 mph,Argonne Avenue Northeast,,False,False,112.53079133748862,"LINESTRING (-84.377685 33.77344, -84.3776837 33.7736565, -84.377679 33.774452)",112.53079133748862,1.6307902114265895,0.0038025360099294,,,,,C
69228789,69279713,0,44450085,residential,2,25 mph,Argonne Avenue Northeast,,False,True,98.580725351697,"LINESTRING (-84.377685 33.77344, -84.3776863 33.7731901, -84.377689 33.77266, -84.3776935 33.772623, -84.377702 33.772554)",98.580725351697,1.6205340211401524,0.0097444644340965,,,,,C
69228801,69365800,0,9268187,residential,,,Durant Place Northeast,,False,False,88.85299692014023,"LINESTRING (-84.375848 33.773651, -84.375835 33.77445)",88.85299692014023,1.6449225011705229,0.0005318572705977,,,,,C
69228801,69228789,0,9246351,residential,,,3rd Street Northeast,,False,True,172.26298148499134,"LINESTRING (-84.375848 33.773651, -84.3759291 33.7736503, -84.375967 33.77365, -84.376586 33.77361, -84.376779 33.773579, -84.377084 33.7735, -84.3773 33.773459, -84.377469 33.773442, -84.3776327 33.7734405, -84.377685 33.77344)",172.26298148499137,1.3355615344430725,0.0006037574961696,,,,,C
69228801,69436084,0,9268187,residential,,,Durant Place Northeast,,False,True,148.79421055046242,"LINESTRING (-84.375848 33.773651, -84.3758691 33.7724209, -84.3758696 33.7723926, -84.375871 33.772313)",148.79421055046242,1.461343899278054,9.005563370129496e-05,,,,,C
69229239,2259071562,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,20.41186108853949,"LINESTRING (-84.3648631 33.7882247, -84.3648163 33.7880453)",20.41186108853949,1.2062842977067203,0.000121677304814,,,,,C
69229239,69229317,0,9246384,residential,,,Amsterdam Avenue Northeast,,False,True,22.81901637842201,"LINESTRING (-84.3648631 33.7882247, -84.36511 33.788222)",22.81901637842201,1.0685021168652085,0.0019102254745384,,,,,C
69229239,2259074366,0,9253296,residential,,25 mph,Courtenay Drive Northeast,,False,False,24.452877170858667,"LINESTRING (-84.3648631 33.7882247, -84.3649187 33.7884397)",24.452877170858667,1.205236827401975,0.0041708743728719,,,,,C
69229257,69229259,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,138.06829604106383,"LINESTRING (-84.363432 33.787611, -84.3627077 33.7876107, -84.361938 33.787608)",138.06829604106383,1.552230112535908,0.0013063477438779,,,,,C
69229257,2259071562,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,True,153.78632984036372,"LINESTRING (-84.363432 33.787611, -84.364277 33.787614, -84.364419 33.787636, -84.364568 33.787687, -84.364666 33.78775, -84.364739 33.787841, -84.364804 33.787998, -84.3648163 33.7880453)",153.7863298403637,1.665826288869824,0.00167985618993,,,,,C
69229257,69274440,0,9249857,residential,,,Brookridge Drive Northeast,,False,False,112.68394377085218,"LINESTRING (-84.363432 33.787611, -84.3634334 33.7875595, -84.363454 33.786795, -84.363436 33.786677, -84.3634207 33.7865998)",112.68394377085218,1.522954662370068,0.0003197035113641,,,,,C
69229259,69229262,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,126.88587693927497,"LINESTRING (-84.361938 33.787608, -84.3612254 33.787608, -84.360565 33.787606)",126.88587693927497,1.6352875616427334,0.0007310257048115,,,,,C
69229259,69229257,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,True,138.06829604106383,"LINESTRING (-84.361938 33.787608, -84.3627077 33.7876107, -84.363432 33.787611)",138.06829604106383,1.552230112535908,0.0013559444713836,,,,,C
69229259,69506269,0,562426806,residential,,,Highland Terrace Northeast,,False,False,58.536174439658375,"LINESTRING (-84.361938 33.787608, -84.3619374 33.7875585, -84.3619315 33.7870816)",58.536174439658375,1.7916446842171465,0.0004301990085223,,,,,C
69229262,69229264,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,360.7009064986278,"LINESTRING (-84.360565 33.787606, -84.3594603 33.7876054, -84.3582958 33.7876067, -84.3576262 33.7876067, -84.3573283 33.7876067, -84.3572216 33.7876055, -84.3569019 33.7876018, -84.356662 33.787599)",360.70090649862783,1.2236205607031507,0.0005694305490111,,,,,C
69229262,69229259,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,True,126.88587693927497,"LINESTRING (-84.360565 33.787606, -84.3612254 33.787608, -84.361938 33.787608)",126.88587693927497,1.6352875616427331,0.0007664948796338,,,,,C
69229262,69598124,0,9276067,residential,,,San Antonio Drive Northeast,,False,True,88.47618148400318,"LINESTRING (-84.360565 33.787606, -84.3605654 33.7876724, -84.360569 33.78825, -84.360587 33.788331, -84.360619 33.788395)",88.47618148400318,1.206590559689498,0.0003708632872518,,,,,C
69229264,69229271,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,119.5522613523041,"LINESTRING (-84.356662 33.787599, -84.35585 33.7875888, -84.3553685 33.7875827)",119.5522613523041,1.7807911702301031,0.0004720406113635,,,,,C
69229264,69229262,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,True,360.70090649862783,"LINESTRING (-84.356662 33.787599, -84.3569019 33.7876018, -84.3572216 33.7876055, -84.3573283 33.7876067, -84.3576262 33.7876067, -84.3582958 33.7876067, -84.3594603 33.7876054, -84.360565 33.787606)",360.7009064986278,1.2236205607031525,0.000617103524662,,,,,C
69229264,69598124,0,9273409,residential,,,Kings Court Northeast,,False,True,464.157407829941,"LINESTRING (-84.356662 33.787599, -84.3566691 33.7876633, -84.356673 33.787698, -84.356994 33.788625, -84.357009 33.788643, -84.357044 33.788657, -84.35796 33.788596, -84.358121 33.788593, -84.359666 33.788708, -84.35981 33.788708, -84.359968 33.788685, -84.360119 33.788641, -84.360218 33.788597, -84.3605339 33.7884314, -84.360548 33.788424, -84.360619 33.788395)",449.17708798263095,1.2228262540603478,0.0,,,,,C
69229271,69229278,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,239.03636510067568,"LINESTRING (-84.3553685 33.7875827, -84.3552996 33.7875844, -84.355275 33.787585, -84.3551646 33.7875846, -84.352782 33.787577)",239.03636510067568,1.596331509195022,0.0001054456485394,,,,,C
69229271,69229264,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,True,119.5522613523041,"LINESTRING (-84.3553685 33.7875827, -84.35585 33.7875888, -84.356662 33.787599)",119.5522613523041,1.7807911702301042,0.0005197135870144,,,,,C
69229271,69528783,0,75359079,tertiary,,,North Highland Avenue Northeast,,False,False,122.99783828267424,"LINESTRING (-84.3553685 33.7875827, -84.3553728 33.7876447, -84.35543 33.788477, -84.355459 33.788686)",122.99783828267424,1.707132148915187,0.0016417418563075,,,,,B
69229271,69528775,0,75359079,tertiary,,,North Highland Avenue Northeast,,False,True,119.58894561910613,"LINESTRING (-84.3553685 33.7875827, -84.355361 33.787487, -84.355324 33.787018, -84.3552851 33.7867785, -84.355245 33.7865313, -84.355242 33.786513)",119.58894561910614,1.5787303952305307,0.0018323135244204,,,,,B
69229278,69229280,0,9246383,residential,,,Amsterdam Avenue Northeast,,False,False,158.3999432803653,"LINESTRING (-84.352782 33.787577, -84.351068 33.787572)",158.3999432803653,1.4646024355138976,0.000111517490331,,,,,C
