osmid,y,x,street_count,highway,junction,ref,railway,geometry
556364033,41.4116439,2.1284192,4,,,,,POINT (2.1284192 41.4116439)
556364095,41.410666,2.1297081,4,,,,,POINT (2.1297081 41.410666)
556364121,41.4098104,2.128149,2,,,,,POINT (2.128149 41.4098104)
556364134,41.408978,2.1294034,3,,,,,POINT (2.1294034 41.408978)
556364163,41.4116756,2.1295705,3,,,,,POINT (2.1295705 41.4116756)
557187269,41.3854281,2.1424137,3,,,,,POINT (2.1424137 41.3854281)
557187296,41.3876253,2.1427465,5,,,,,POINT (2.1427465 41.3876253)
557230343,41.3863744,2.1396412,4,,,,,POINT (2.1396412 41.3863744)
557230350,41.3856386,2.1384146,3,traffic_signals,,,,POINT (2.1384146 41.3856386)
557230376,41.3847416,2.1415551,4,,,,,POINT (2.1415551 41.3847416)
557230386,41.3853797,2.1407126,4,traffic_signals,,,,POINT (2.1407126 41.3853797)
557230481,41.3853397,2.1387756,4,traffic_signals,,,,POINT (2.1387756 41.3853397)
557230545,41.3839257,2.1403622,4,traffic_signals,,,,POINT (2.1403622 41.3839257)
557230563,41.3874678,2.1362537,3,,,,,POINT (2.1362537 41.3874678)
557231477,41.3879099,2.1419318,3,,,,,POINT (2.1419318 41.3879099)
559026424,41.3845514,2.1621251,4,,,,,POINT (2.1621251 41.3845514)
559026426,41.385406,2.163282,4,,,,,POINT (2.163282 41.385406)
559032149,41.3894368,2.1685317,6,,,,,POINT (2.1685317 41.3894368)
559052397,41.4204508,2.2027607,4,,,,,POINT (2.2027607 41.4204508)
559052399,41.4229704,2.2061345,4,,,,,POINT (2.2061345 41.4229704)
559052400,41.4224074,2.204976,4,,,,,POINT (2.204976 41.4224074)
559052401,41.4221606,2.2046477,4,,,,,POINT (2.2046477 41.4221606)
559052402,41.4222596,2.2051712,4,,,,,POINT (2.2051712 41.4222596)
559052405,41.4220138,2.2048484,4,,,,,POINT (2.2048484 41.4220138)
559061397,41.4084637,2.1939349,3,,,,,POINT (2.1939349 41.4084637)
559061399,41.4092297,2.19494,4,,,,,POINT (2.19494 41.4092297)
559410524,41.4170451,2.1982127,3,,,,,POINT (2.1982127 41.4170451)
559410525,41.4180368,2.199149,4,,,,,POINT (2.199149 41.4180368)
559410526,41.4178901,2.1993415,4,,,,,POINT (2.1993415 41.4178901)
559410527,41.4197214,2.2013918,4,,,,,POINT (2.2013918 41.4197214)
559410528,41.4188699,2.2002677,4,,,,,POINT (2.2002677 41.4188699)
559410529,41.419593,2.2016095,4,,,,,POINT (2.2016095 41.419593)
559410530,41.4187239,2.2004508,4,,,,,POINT (2.2004508 41.4187239)
559410531,41.4212846,2.2038698,4,,,,,POINT (2.2038698 41.4212846)
559410532,41.4206002,2.2025589,4,,,,,POINT (2.2025589 41.4206002)
559414533,41.410934,2.1971822,4,,,,,POINT (2.1971822 41.410934)
559415593,41.4118058,2.198348,4,,,,,POINT (2.198348 41.4118058)
559415597,41.4127873,2.1996603,3,,,,,POINT (2.1996603 41.4127873)
559417174,41.4147642,2.2023281,3,,,,,POINT (2.2023281 41.4147642)
559417176,41.4145472,2.2014972,4,,,,,POINT (2.2014972 41.4145472)
559417178,41.4163753,2.2039756,3,,,,,POINT (2.2039756 41.4163753)
559418993,41.4094292,2.1946529,4,,,,,POINT (2.1946529 41.4094292)
559418994,41.4111124,2.1969432,4,,,,,POINT (2.1969432 41.4111124)
559418998,41.4127167,2.1990667,3,,,,,POINT (2.1990667 41.4127167)
559419000,41.4119892,2.1981042,4,,,,,POINT (2.1981042 41.4119892)
559420249,41.4169105,2.2051681,4,,,,,POINT (2.2051681 41.4169105)
