osmid,y,x,street_count,highway,geometry
268513842,51.5128514,-3.1305472,3,,POINT (-3.1305472 51.5128514)
268514127,51.5140711,-3.1242803,3,,POINT (-3.1242803 51.5140711)
269092088,51.5099354,-3.1534131,1,,POINT (-3.1534131 51.5099354)
269092090,51.5092142,-3.1537805,3,,POINT (-3.1537805 51.5092142)
269092091,51.508551,-3.1537263,3,,POINT (-3.1537263 51.508551)
269092092,51.5082517,-3.1536602,3,,POINT (-3.1536602 51.5082517)
269092097,51.5093715,-3.1528013,1,,POINT (-3.1528013 51.5093715)
269092702,51.5079158,-3.1535795,3,,POINT (-3.1535795 51.5079158)
269092703,51.5075875,-3.1534992,3,,POINT (-3.1534992 51.5075875)
269092707,51.5076958,-3.1523761,1,,POINT (-3.1523761 51.5076958)
269092753,51.5073967,-3.1540207,1,,POINT (-3.1540207 51.5073967)
269092764,51.507235,-3.155323,3,,POINT (-3.155323 51.507235)
269092844,51.5077087,-3.1552968,3,,POINT (-3.1552968 51.5077087)
269092845,51.5078575,-3.1552531,3,,POINT (-3.1552531 51.5078575)
269092878,51.5078405,-3.1548288,1,,POINT (-3.1548288 51.5078405)
269092879,51.5077846,-3.1548115,3,,POINT (-3.1548115 51.5077846)
269092949,51.5110654,-3.1526673,3,,POINT (-3.1526673 51.5110654)
269092950,51.5109449,-3.1525059,3,,POINT (-3.1525059 51.5109449)
269092951,51.5105704,-3.152419,3,,POINT (-3.152419 51.5105704)
269092952,51.5104622,-3.1523939,3,,POINT (-3.1523939 51.5104622)
269092958,51.5097131,-3.1509839,3,,POINT (-3.1509839 51.5097131)
269092959,51.5097849,-3.1500282,3,,POINT (-3.1500282 51.5097849)
269092963,51.5102496,-3.1486802,3,,POINT (-3.1486802 51.5102496)
269092964,51.5107643,-3.1484563,3,,POINT (-3.1484563 51.5107643)
269092967,51.5111529,-3.1484232,3,,POINT (-3.1484232 51.5111529)
269092969,51.5112415,-3.1487374,3,,POINT (-3.1487374 51.5112415)
269092970,51.5113388,-3.1493131,3,,POINT (-3.1493131 51.5113388)
269092971,51.5114095,-3.1497349,3,,POINT (-3.1497349 51.5114095)
269092974,51.5110644,-3.1507621,1,,POINT (-3.1507621 51.5110644)
269092984,51.5109736,-3.149921,1,,POINT (-3.149921 51.5109736)
269092985,51.5116733,-3.1491657,1,,POINT (-3.1491657 51.5116733)
269092986,51.5108266,-3.1489255,1,,POINT (-3.1489255 51.5108266)
269092987,51.5115818,-3.1481374,1,,POINT (-3.1481374 51.5115818)
269093006,51.5106735,-3.1479587,1,,POINT (-3.1479587 51.5106735)
269093013,51.5103459,-3.1492382,1,,POINT (-3.1492382 51.5103459)
269093020,51.5105051,-3.1500047,1,,POINT (-3.1500047 51.5105051)
269093024,51.5100307,-3.1510521,1,,POINT (-3.1510521 51.5100307)
269093049,51.5101213,-3.1520962,1,,POINT (-3.1520962 51.5101213)
269093050,51.5104798,-3.1521656,3,,POINT (-3.1521656 51.5104798)
269093057,51.5109874,-3.1526976,1,,POINT (-3.1526976 51.5109874)
269093063,51.5110232,-3.1516237,1,,POINT (-3.1516237 51.5110232)
269093082,51.5115927,-3.1519864,1,,POINT (-3.1519864 51.5115927)
269093085,51.511531,-3.1525756,3,,POINT (-3.1525756 51.511531)
269093096,51.5116947,-3.1526504,1,,POINT (-3.1526504 51.5116947)
269093142,51.5111161,-3.1576503,3,,POINT (-3.1576503 51.5111161)
269093147,51.5111268,-3.1558498,3,,POINT (-3.1558498 51.5111268)
269093148,51.5104895,-3.155747,1,,POINT (-3.155747 51.5104895)
269093155,51.5112399,-3.1552576,3,,POINT (-3.1552576 51.5112399)
269093157,51.511318,-3.1542636,3,,POINT (-3.1542636 51.511318)
269093158,51.5118563,-3.1543821,1,,POINT (-3.1543821 51.5118563)
269093168,51.5117762,-3.1553434,1,,POINT (-3.1553434 51.5117762)
269093194,51.5096217,-3.1557258,3,,POINT (-3.1557258 51.5096217)
269093195,51.5094722,-3.155928,3,,POINT (-3.155928 51.5094722)
269093285,51.5125717,-3.1524399,3,,POINT (-3.1524399 51.5125717)
269093286,51.5129016,-3.1522775,1,,POINT (-3.1522775 51.5129016)
269093287,51.5126968,-3.1532557,1,,POINT (-3.1532557 51.5126968)
269093291,51.5123355,-3.1525602,3,,POINT (-3.1525602 51.5123355)
269093331,51.5082426,-3.1578978,3,,POINT (-3.1578978 51.5082426)
269093349,51.508537,-3.1572858,3,,POINT (-3.1572858 51.508537)
