u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130569,122130567,0,500852878,tertiary,North Waco Street,False,True,96.73988386111834,96.73988386111834,1.6064773264860943,0.0026161023430741,"LINESTRING (-97.341971 37.710705, -97.3419719 37.7103342, -97.3419728 37.7099099, -97.341973 37.709835)",,,,,,,,B
122130577,122347188,0,13252764,residential,West 15th Street North,False,False,111.45784734127628,111.45784734127628,1.5896339755812294,0.0014914499836938,"LINESTRING (-97.341969 37.711648, -97.3421083 37.7116465, -97.342533 37.711642, -97.3426241 37.711642, -97.343236 37.711642)",,,,,,,,C
122130577,122347185,0,13252764,residential,West 15th Street North,False,True,161.0802066649786,161.08020666497862,1.8533429289618817,0.0006051071303279,"LINESTRING (-97.341969 37.711648, -97.3418567 37.7116492, -97.3413468 37.7116545, -97.3402539 37.7116658, -97.340138 37.711667)",,,,,,,,C
122130577,122130584,0,500852878,tertiary,North Waco Street,False,False,202.59746376475977,202.59746376475977,1.7724027655582244,0.00165799789509,"LINESTRING (-97.341969 37.711648, -97.341969 37.7117019, -97.3419682 37.7131645, -97.341968 37.7133967, -97.341968 37.71347)",,,,,,,,B
122130577,122130569,0,500852878,tertiary,North Waco Street,False,True,104.8571126341336,104.8571126341336,1.7174104228381253,0.0018918767763355,"LINESTRING (-97.341969 37.711648, -97.3419691 37.7115799, -97.341971 37.710705)",,,,,,,,B
122130584,122348098,0,13252827,residential,West 16th Street North,False,False,111.36537654647802,111.365376546478,1.6833417874686156,0.0006225390966319,"LINESTRING (-97.341968 37.71347, -97.3421055 37.7134692, -97.3426304 37.7134663, -97.3431462 37.7134635, -97.343234 37.713463)",,,,,,,,C
122130584,122348095,0,13252827,residential,West 16th Street North,False,True,160.44977796462854,160.44977796462854,1.8628912904653447,0.0009965274070458,"LINESTRING (-97.341968 37.71347, -97.3418509 37.7134706, -97.3413365 37.7134731, -97.3413223 37.7134732, -97.3402512 37.7134785, -97.340144 37.713479)",,,,,,,,C
122130584,122130595,0,500852878,tertiary,North Waco Street,False,False,201.9341320530476,201.9341320530476,1.79787143475486,0.0015268949818453,"LINESTRING (-97.341968 37.71347, -97.3419677 37.7135461, -97.341962 37.715, -97.3419658 37.7152185, -97.341967 37.715286)",,,,,,,,B
122130584,122130577,0,500852878,tertiary,North Waco Street,False,True,202.59746376475977,202.59746376475977,1.7724027655582253,0.0006805003845927,"LINESTRING (-97.341968 37.71347, -97.341968 37.7133967, -97.3419682 37.7131645, -97.341969 37.7117019, -97.341969 37.711648)",,,,,,,,B
122130595,122288921,0,13249180,tertiary,West 17th Street North,False,True,55.498025101570754,55.498025101570754,1.744068796188623,0.0010796924129545,"LINESTRING (-97.341967 37.715286, -97.3418452 37.715287, -97.3413712 37.7152907, -97.3413361 37.715291)",,,,,,,,B
122130595,122130603,0,500852878,tertiary,North Waco Street,False,False,202.9460508491492,202.94605084914923,1.8243076759355104,0.000570097931334,"LINESTRING (-97.341967 37.715286, -97.3419687 37.7153726, -97.341987 37.716282, -97.3419916 37.7170349, -97.341992 37.717111)",,,,,,,,B
122130595,122130584,0,500852878,tertiary,North Waco Street,False,True,201.9341320530476,201.9341320530476,1.7978714347548592,0.0005977711778416,"LINESTRING (-97.341967 37.715286, -97.3419658 37.7152185, -97.341962 37.715, -97.3419677 37.7135461, -97.341968 37.71347)",,,,,,,,B
122130595,122288924,0,1058210376,residential,West 17th Street North,False,False,112.6807281502302,112.6807281502302,1.6989560461191442,9.01377924303139e-05,"LINESTRING (-97.341967 37.715286, -97.342109 37.7152854, -97.3426366 37.7152834, -97.3431523 37.7152814, -97.343248 37.715281)",,,,,,,,C
122130603,122290409,0,13249256,residential,West 18th Street North,False,False,111.36168277650737,111.36168277650737,1.744548445252261,0.00501880836531,"LINESTRING (-97.341992 37.717111, -97.3421125 37.7171101, -97.3426429 37.7171064, -97.3431585 37.7171027, -97.343258 37.717102)",,,,,,,,C
