osmid,y,x,highway,street_count,ref,geometry
1419489191,-23.2104994,-45.8974594,,3,,POINT (-45.8974594 -23.2104994)
1419489192,-23.210134,-45.8966971,,3,,POINT (-45.8966971 -23.210134)
1419489207,-23.2098964,-45.9006901,,3,,POINT (-45.9006901 -23.2098964)
1419489217,-23.2120371,-45.8999727,,3,,POINT (-45.8999727 -23.2120371)
1419489228,-23.2111007,-45.8943693,,3,,POINT (-45.8943693 -23.2111007)
1419491366,-23.2104364,-45.8977778,,3,,POINT (-45.8977778 -23.2104364)
1419491384,-23.2103084,-45.8966484,,3,,POINT (-45.8966484 -23.2103084)
1420073163,-23.2114852,-45.8920565,,3,,POINT (-45.8920565 -23.2114852)
1420073170,-23.209531,-45.9003996,,3,,POINT (-45.9003996 -23.209531)
1420073184,-23.2114695,-45.8929156,,3,,POINT (-45.8929156 -23.2114695)
1420073201,-23.208695,-45.8996009,,3,,POINT (-45.8996009 -23.208695)
1420073214,-23.208566,-45.8944684,,3,,POINT (-45.8944684 -23.208566)
1420075323,-23.2087189,-45.8938408,,3,,POINT (-45.8938408 -23.2087189)
1423945086,-23.2145975,-45.8887518,,3,,POINT (-45.8887518 -23.2145975)
1423945091,-23.2120812,-45.8913716,,3,,POINT (-45.8913716 -23.2120812)
1423946221,-23.2126843,-45.8905296,,3,,POINT (-45.8905296 -23.2126843)
1423946243,-23.2103387,-45.8896623,,3,,POINT (-45.8896623 -23.2103387)
1423963119,-23.2136761,-45.8928926,,3,,POINT (-45.8928926 -23.2136761)
1423963129,-23.2132098,-45.8922059,,3,,POINT (-45.8922059 -23.2132098)
1423963131,-23.2128542,-45.8918488,,3,,POINT (-45.8918488 -23.2128542)
1423963188,-23.215428,-45.8947587,motorway_junction,3,,POINT (-45.8947587 -23.215428)
1423963201,-23.2129394,-45.8924171,,3,,POINT (-45.8924171 -23.2129394)
1423977840,-23.2079066,-45.8866592,,3,,POINT (-45.8866592 -23.2079066)
1423977848,-23.2078215,-45.8865626,,3,,POINT (-45.8865626 -23.2078215)
1423990965,-23.2091798,-45.8858036,,3,,POINT (-45.8858036 -23.2091798)
1423990968,-23.2095484,-45.8861992,,3,,POINT (-45.8861992 -23.2095484)
1423990974,-23.2092838,-45.8857513,,4,,POINT (-45.8857513 -23.2092838)
1423998082,-23.208966,-45.8868522,,3,,POINT (-45.8868522 -23.208966)
1423998087,-23.2083823,-45.8862236,,3,,POINT (-45.8862236 -23.2083823)
1424164081,-23.2090179,-45.8852134,,3,,POINT (-45.8852134 -23.2090179)
1424164135,-23.2060904,-45.8826933,,3,,POINT (-45.8826933 -23.2060904)
1424164136,-23.2058073,-45.8826795,traffic_signals,4,,POINT (-45.8826795 -23.2058073)
1424164138,-23.2052584,-45.8828167,,3,,POINT (-45.8828167 -23.2052584)
1424164716,-23.2063883,-45.8828279,,3,,POINT (-45.8828279 -23.2063883)
1424164720,-23.2076565,-45.8824052,,3,,POINT (-45.8824052 -23.2076565)
1424164722,-23.2091109,-45.8854067,,3,,POINT (-45.8854067 -23.2091109)
1424166885,-23.2057835,-45.8829733,,3,,POINT (-45.8829733 -23.2057835)
1424167120,-23.2077266,-45.8864607,,3,,POINT (-45.8864607 -23.2077266)
1424167862,-23.2066777,-45.8853758,,3,,POINT (-45.8853758 -23.2066777)
1424167863,-23.2074185,-45.8852175,,4,,POINT (-45.8852175 -23.2074185)
1424167864,-23.2086318,-45.884403,,3,,POINT (-45.884403 -23.2086318)
1424167865,-23.2063218,-45.8849649,,3,,POINT (-45.8849649 -23.2063218)
1424167866,-23.2082247,-45.8836125,,3,,POINT (-45.8836125 -23.2082247)
1424167867,-23.2065273,-45.8837248,,4,,POINT (-45.8837248 -23.2065273)
1424167868,-23.2078485,-45.8828406,,3,,POINT (-45.8828406 -23.2078485)
1424167869,-23.2068835,-45.8855958,,3,,POINT (-45.8855958 -23.2068835)
1424167872,-23.2077624,-45.8858009,,3,,POINT (-45.8858009 -23.2077624)
1424167873,-23.2089558,-45.8850759,,3,,POINT (-45.8850759 -23.2089558)
1424173016,-23.2061862,-45.8832244,,4,,POINT (-45.8832244 -23.2061862)
1424173019,-23.2060144,-45.8840647,,3,,POINT (-45.8840647 -23.2060144)
1424173021,-23.2058961,-45.8845513,,3,,POINT (-45.8845513 -23.2058961)
1424176500,-23.2062118,-45.8861375,motorway_junction,3,,POINT (-45.8861375 -23.2062118)
1424176506,-23.2078413,-45.8875188,,3,,POINT (-45.8875188 -23.2078413)
1424188596,-23.2101723,-45.8912183,,3,,POINT (-45.8912183 -23.2101723)
1424188600,-23.2100239,-45.8919404,,3,,POINT (-45.8919404 -23.2100239)
1424188605,-23.2100037,-45.8920936,,3,,POINT (-45.8920936 -23.2100037)
1424188608,-23.2099472,-45.8927265,,3,,POINT (-45.8927265 -23.2099472)
1424188623,-23.2067238,-45.8918404,,3,,POINT (-45.8918404 -23.2067238)
1424188628,-23.2068052,-45.8916426,,3,,POINT (-45.8916426 -23.2068052)
1424188645,-23.2076124,-45.8876662,traffic_signals,3,,POINT (-45.8876662 -23.2076124)
1424188655,-23.2058677,-45.8880029,,3,,POINT (-45.8880029 -23.2058677)
1424188665,-23.20955,-45.8897677,,3,,POINT (-45.8897677 -23.20955)
1424188668,-23.2084489,-45.8892488,,3,,POINT (-45.8892488 -23.2084489)
1424188678,-23.2067961,-45.8878475,,3,,POINT (-45.8878475 -23.2067961)
1424188679,-23.208197,-45.8896346,,3,,POINT (-45.8896346 -23.208197)
1424188680,-23.2065319,-45.8882839,,3,,POINT (-45.8882839 -23.2065319)
1424188689,-23.2085825,-45.8907842,,3,,POINT (-45.8907842 -23.2085825)
1424188699,-23.2066065,-45.8947425,,3,,POINT (-45.8947425 -23.2066065)
1424190781,-23.2056805,-45.8909091,,3,,POINT (-45.8909091 -23.2056805)
1424190821,-23.2055289,-45.8908555,,3,,POINT (-45.8908555 -23.2055289)
1424195312,-23.2039101,-45.8937724,traffic_signals,4,,POINT (-45.8937724 -23.2039101)
1424195316,-23.2054402,-45.8864181,,3,,POINT (-45.8864181 -23.2054402)
1424195323,-23.203654,-45.897642,traffic_signals,3,,POINT (-45.897642 -23.203654)
1424195329,-23.2078435,-45.900979,,3,,POINT (-45.900979 -23.2078435)
1424195347,-23.2054293,-45.8922074,,3,,POINT (-45.8922074 -23.2054293)
1424195349,-23.2054861,-45.8919221,,3,,POINT (-45.8919221 -23.2054861)
1424195354,-23.2063769,-45.892369,,3,,POINT (-45.892369 -23.2063769)
1424195355,-23.2052143,-45.8920228,,3,,POINT (-45.8920228 -23.2052143)
1424207478,-23.2059316,-45.8870795,,2,,POINT (-45.8870795 -23.2059316)
1424219412,-23.2069696,-45.8936355,,3,,POINT (-45.8936355 -23.2069696)
1424219413,-23.2062056,-45.8929431,,3,,POINT (-45.8929431 -23.2062056)
1424219414,-23.2056681,-45.8924303,,3,,POINT (-45.8924303 -23.2056681)
1424219415,-23.2042895,-45.891059,traffic_signals,4,,POINT (-45.891059 -23.2042895)
