osmid,y,x,highway,street_count,railway,geometry
195597696,-34.6140416,-58.4113128,traffic_signals,4,,POINT (-58.4113128 -34.6140416)
195598213,-34.6120901,-58.4003157,traffic_signals,4,,POINT (-58.4003157 -34.6120901)
195598729,-34.6115541,-58.4102398,traffic_signals,4,,POINT (-58.4102398 -34.6115541)
195598730,-34.6212449,-58.4092131,traffic_signals,4,,POINT (-58.4092131 -34.6212449)
195599229,-34.6085422,-58.4174841,traffic_signals,4,,POINT (-58.4174841 -34.6085422)
195599230,-34.6135409,-58.4161971,traffic_signals,4,,POINT (-58.4161971 -34.6135409)
195599232,-34.6144312,-58.4159728,traffic_signals,4,,POINT (-58.4159728 -34.6144312)
195599233,-34.6360993,-58.4137751,traffic_signals,4,,POINT (-58.4137751 -34.6360993)
195600339,-34.6137901,-58.4075428,,3,,POINT (-58.4075428 -34.6137901)
195600341,-34.6149277,-58.4072639,traffic_signals,4,,POINT (-58.4072639 -34.6149277)
195600343,-34.6178186,-58.4065657,,4,,POINT (-58.4065657 -34.6178186)
195600344,-34.6194232,-58.4064074,traffic_signals,4,,POINT (-58.4064074 -34.6194232)
195600345,-34.6217974,-58.4061767,,4,,POINT (-58.4061767 -34.6217974)
195600348,-34.6242022,-58.4058358,traffic_signals,4,,POINT (-58.4058358 -34.6242022)
195600870,-34.6115412,-58.4140229,,3,,POINT (-58.4140229 -34.6115412)
195600872,-34.6131602,-58.4206313,traffic_signals,4,,POINT (-58.4206313 -34.6131602)
195600874,-34.613838,-58.4247853,,3,,POINT (-58.4247853 -34.613838)
195601549,-34.6222777,-58.414949,traffic_signals,4,,POINT (-58.414949 -34.6222777)
195601555,-34.6236061,-58.427497,traffic_signals,4,,POINT (-58.427497 -34.6236061)
195603809,-34.6166474,-58.4169225,,3,,POINT (-58.4169225 -34.6166474)
195603812,-34.6170983,-58.4273609,traffic_signals,4,,POINT (-58.4273609 -34.6170983)
195605401,-34.6176395,-58.4205506,traffic_signals,3,,POINT (-58.4205506 -34.6176395)
195605402,-34.6212785,-58.4204972,traffic_signals,4,,POINT (-58.4204972 -34.6212785)
195605404,-34.6246931,-58.4205454,traffic_signals,4,,POINT (-58.4205454 -34.6246931)
195606636,-34.614963,-58.4274572,traffic_signals,4,,POINT (-58.4274572 -34.614963)
