u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83701536,370745883,0,10149047,other,2,20 mph,300 North,False,True,30.229449783213745,30.229449783213745,1.5096535416008667,0.0053191853927006,"LINESTRING (-111.8942652 40.7759731, -111.8939062 40.7759732)",,,,,,,C
83701536,83577032,0,10148172,residential,,20 mph,Almond Street,True,False,330.4680591253047,533.473032011346,9.40480234810614,0.0112686593262757,"LINESTRING (-111.8942652 40.7759731, -111.8942533 40.7759175, -111.8942443 40.7758736, -111.8941402 40.7754573, -111.894109 40.7753483, -111.8937604 40.7749524, -111.8936496 40.7748341, -111.8936027 40.7747831, -111.8934021 40.7745655, -111.8932893 40.7744374, -111.893242 40.7743832, -111.8931712 40.774276, -111.893028 40.774049, -111.8929068 40.7738552, -111.8928911 40.77383, -111.8926081 40.7737576, -111.892461 40.7737163, -111.8922026 40.7736404)",,,,,,,C
83701536,83685179,0,10149047,other,2,20 mph,300 North,False,False,90.60129241805043,90.60129241805043,1.6445263694348364,0.0150803541003727,"LINESTRING (-111.8942652 40.7759731, -111.8947501 40.7759713, -111.8950097 40.7759412, -111.895137 40.7759163, -111.8953278 40.7758793)",,,,,,,C
83701716,83550771,0,10148097,residential,2,20 mph,Glendale Circle,False,False,43.15914787440897,43.15914787440897,1.2764182242922733,0.0002963841138114,"LINESTRING (-111.9358759 40.7461978, -111.9356543 40.7459183, -111.9356116 40.7458653)",,,,,,,C
83701772,83617921,0,1122423521,secondary,4,30 mph,2100 South,False,True,52.55126260554322,52.55126260554322,1.4989998720850015,0.0063167688033445,"LINESTRING (-111.8835144 40.7254394, -111.884138 40.7254428)",,,,,,,B
83701772,83684934,0,10148102,residential,2,,Roberta Street,False,False,144.40020269200082,144.4002026920008,1.3772086528464142,4.393479303461306e-07,"LINESTRING (-111.8835144 40.7254394, -111.8835152 40.7253378, -111.8835236 40.7241956, -111.883524 40.7241408)",,,,,,,C
83701772,83608374,0,1122423521,secondary,4,30 mph,2100 South,False,False,81.01587326365251,81.01587326365251,1.5482633106990478,0.0050068968838105,"LINESTRING (-111.8835144 40.7254394, -111.8826665 40.7254397, -111.882553 40.7254395)",,,,,,,B
83702152,83586212,0,10148184,residential,2,20 mph,North Diamond Rose Circle,False,True,152.04662024561114,152.04662024561117,1.2795639413103028,0.0002963841138114,"LINESTRING (-111.915115 40.783216, -111.9158656 40.7832214, -111.9160995 40.7833694, -111.9166518 40.7833658, -111.9168499 40.7833645)",,,,,,,C
83702191,370745883,0,10149047,other,2,20 mph,300 North,False,False,34.93673941144836,34.93673941144836,1.5334831036085252,0.0150904591027706,"LINESTRING (-111.8934913 40.775972, -111.8939062 40.7759732)",,,,,,,C
83702191,83578177,0,10148190,residential,,20 mph,Vine Street,False,True,277.2806992451644,277.2806992451644,1.4221788920534562,0.0002981415055328,"LINESTRING (-111.8934913 40.775972, -111.8934642 40.7759274, -111.8933665 40.7757666, -111.8933489 40.7757456, -111.8933091 40.7756983, -111.8932018 40.7756069, -111.893165 40.7755755, -111.8931254 40.7755246, -111.8930995 40.7754688, -111.8930897 40.775306, -111.8930806 40.7751452, -111.8930721 40.7750962, -111.8930604 40.7750643, -111.8930252 40.774968, -111.8929608 40.7748776, -111.8928921 40.7748133, -111.8926494 40.7746441, -111.8926406 40.7746372, -111.892508 40.774534, -111.8924336 40.7744673, -111.8923915 40.7744344, -111.892331 40.7743992, -111.8922398 40.774367, -111.89222 40.7743628, -111.8921765 40.7743537, -111.8919545 40.7743313, -111.8917946 40.7743151, -111.8916635 40.7743004, -111.8916465 40.7742984, -111.8915357 40.7742759)",,,,,,,C
83702191,83578178,0,10149047,other,2,20 mph,300 North,False,True,81.96562340086393,81.96562340086393,1.626403569486576,0.0051030262109703,"LINESTRING (-111.8934913 40.775972, -111.8932621 40.7759712, -111.892627 40.775969, -111.8925179 40.7759686)",,,,,,,C
83702408,83700747,0,10148233,residential,,20 mph,Hillside Avenue,False,True,120.99552058155716,120.99552058155716,1.7894230323663682,0.0055515125782676,"LINESTRING (-111.8882203 40.7746551, -111.8883069 40.7746544, -111.8889412 40.7746466, -111.8896571 40.7746444)",,,,,,,C
83702408,83557807,0,134838569,residential,,20 mph,Hillside Avenue,False,False,120.40455119805912,120.40455119805912,1.3764234950528558,5.597292632609704e-05,"LINESTRING (-111.8882203 40.7746551, -111.8881283 40.7746547, -111.8874 40.7746468, -111.8869531 40.774647, -111.8867905 40.7746471)",,,,,,,C
83702408,83592817,0,134838570,secondary,2,30 mph,State Street,False,True,117.16829434710688,117.16829434710688,1.5356094786360277,0.0106562083113732,"LINESTRING (-111.8882203 40.7746551, -111.8882203 40.7746028, -111.888228 40.7736716, -111.8882279 40.7736014)",UT 186,,,,,,B
83702408,1663354175,0,134838571,secondary,2,30 mph,State Street,False,False,112.3852232574108,112.3852232574108,1.865940076832682,0.001834277609195,"LINESTRING (-111.8882203 40.7746551, -111.888221 40.7747079, -111.8882197 40.7756658)",UT 186,,,,,,B
83703084,83551117,0,33630583,residential,,20 mph,McClelland Street,False,False,90.00515390304929,90.00515390304929,1.44304868709988,0.0073895685796637,"LINESTRING (-111.8611783 40.7472488, -111.8612949 40.7464442)",,,,,,,C
83703084,83595713,0,33630583,residential,,20 mph,McClelland Street,False,True,88.32209340696579,88.32209340696579,1.448486217159021,0.0093330680843428,"LINESTRING (-111.8611783 40.7472488, -111.8610192 40.7480339)",,,,,,,C
