osmid,y,x,street_count,highway,railway,geometry
2420455734,-22.879639,-43.2189575,3,,,POINT (-43.2189575 -22.879639)
2420455736,-22.8786773,-43.2184151,3,,,POINT (-43.2184151 -22.8786773)
2420455746,-22.8785271,-43.2179611,3,,,POINT (-43.2179611 -22.8785271)
2420456615,-22.8782807,-43.2186924,3,,,POINT (-43.2186924 -22.8782807)
2420456619,-22.879452,-43.2193786,3,,,POINT (-43.2193786 -22.879452)
2420461136,-22.8803012,-43.2200659,1,,,POINT (-43.2200659 -22.8803012)
2420461138,-22.8807383,-43.2185827,3,,,POINT (-43.2185827 -22.8807383)
2420461150,-22.8801591,-43.2195684,1,,,POINT (-43.2195684 -22.8801591)
2420470774,-22.8752616,-43.2119454,3,,,POINT (-43.2119454 -22.8752616)
2420470781,-22.8751651,-43.2134457,4,,,POINT (-43.2134457 -22.8751651)
2420470786,-22.8736211,-43.2123613,3,,,POINT (-43.2123613 -22.8736211)
2420478472,-22.8739511,-43.2131486,3,,,POINT (-43.2131486 -22.8739511)
2446667869,-22.9093211,-43.1983312,3,,,POINT (-43.1983312 -22.9093211)
2446686137,-22.9113714,-43.2043445,3,,,POINT (-43.2043445 -22.9113714)
2446686141,-22.9111042,-43.2041652,3,,,POINT (-43.2041652 -22.9111042)
