osmid,y,x,street_count,highway,junction,ref,geometry
107951,51.5422083,-0.1100299,4,,,,POINT (-0.1100299 51.5422083)
107953,51.5410257,-0.10951,4,,,,POINT (-0.10951 51.5410257)
107954,51.5467684,-0.1130099,3,,,,POINT (-0.1130099 51.5467684)
107956,51.5468235,-0.108834,3,,,,POINT (-0.108834 51.5468235)
107959,51.5473256,-0.1117285,3,,,,POINT (-0.1117285 51.5473256)
107972,51.5337615,-0.1184025,3,,,,POINT (-0.1184025 51.5337615)
107973,51.5317053,-0.1208434,3,,,,POINT (-0.1208434 51.5317053)
107974,51.5308954,-0.1209929,4,,,,POINT (-0.1209929 51.5308954)
107975,51.5333768,-0.1223955,3,,,,POINT (-0.1223955 51.5333768)
107981,51.5275459,-0.1271102,4,,,,POINT (-0.1271102 51.5275459)
107986,51.5258051,-0.1290855,3,,,,POINT (-0.1290855 51.5258051)
107987,51.5253695,-0.1301429,4,,,,POINT (-0.1301429 51.5253695)
107988,51.5265273,-0.1314186,3,,,,POINT (-0.1314186 51.5265273)
107989,51.5261914,-0.1322895,3,,,,POINT (-0.1322895 51.5261914)
107990,51.5249989,-0.1309924,3,,,,POINT (-0.1309924 51.5249989)
107991,51.5238908,-0.129732,3,,,,POINT (-0.129732 51.5238908)
107992,51.5242684,-0.1288832,4,,,,POINT (-0.1288832 51.5242684)
107993,51.5234802,-0.1307349,3,,,,POINT (-0.1307349 51.5234802)
107995,51.5258723,-0.133195,4,,,,POINT (-0.133195 51.5258723)
107996,51.5269274,-0.130339,3,,,,POINT (-0.130339 51.5269274)
107999,51.5223709,-0.1268557,3,,,,POINT (-0.1268557 51.5223709)
108002,51.5219019,-0.127833,3,,,,POINT (-0.127833 51.5219019)
108004,51.5222823,-0.128407,1,,,,POINT (-0.128407 51.5222823)
108006,51.5228088,-0.1317703,3,,,,POINT (-0.1317703 51.5228088)
108009,51.5239619,-0.1342365,3,,,,POINT (-0.1342365 51.5239619)
108012,51.5246071,-0.1349216,3,,,,POINT (-0.1349216 51.5246071)
108014,51.5209576,-0.1268219,3,,,,POINT (-0.1268219 51.5209576)
108021,51.5250845,-0.1354467,3,,,,POINT (-0.1354467 51.5250845)
108025,51.5209654,-0.1325081,3,,,,POINT (-0.1325081 51.5209654)
108030,51.5211502,-0.13207,4,,,,POINT (-0.13207 51.5211502)
108033,51.5214109,-0.1314657,3,,,,POINT (-0.1314657 51.5214109)
108034,51.5224697,-0.132628,4,,,,POINT (-0.132628 51.5224697)
108036,51.5222168,-0.1332307,4,,,,POINT (-0.1332307 51.5222168)
108040,51.5237012,-0.1372335,4,,,,POINT (-0.1372335 51.5237012)
108043,51.5242083,-0.1359664,3,,,,POINT (-0.1359664 51.5242083)
108044,51.5214616,-0.1351723,3,,,,POINT (-0.1351723 51.5214616)
108045,51.5208359,-0.1345667,3,,,,POINT (-0.1345667 51.5208359)
108054,51.5139899,-0.1415321,4,,,,POINT (-0.1415321 51.5139899)
108055,51.5131204,-0.1407061,4,,,,POINT (-0.1407061 51.5131204)
108058,51.5103803,-0.1381703,4,,,,POINT (-0.1381703 51.5103803)
108059,51.5105263,-0.137384,3,,,,POINT (-0.137384 51.5105263)
108060,51.5108324,-0.1368041,4,,,,POINT (-0.1368041 51.5108324)
