osmid,y,x,highway,street_count,ref,junction,geometry
3559738193,-23.5810326,-46.6193061,,4,,,POINT (-46.6193061 -23.5810326)
3559738197,-23.5815756,-46.6186959,,3,,,POINT (-46.6186959 -23.5815756)
3572874001,-23.5199691,-46.6032821,turning_circle,1,,,POINT (-46.6032821 -23.5199691)
3581377463,-23.5820132,-46.6140474,,3,,,POINT (-46.6140474 -23.5820132)
3609406629,-23.5462957,-46.6258591,,3,,,POINT (-46.6258591 -23.5462957)
3609406630,-23.5474969,-46.6254603,,3,,,POINT (-46.6254603 -23.5474969)
3609406632,-23.5461439,-46.6255269,,3,,,POINT (-46.6255269 -23.5461439)
3609406634,-23.5436003,-46.6256228,,3,,,POINT (-46.6256228 -23.5436003)
3609406635,-23.544246,-46.6254004,,1,,,POINT (-46.6254004 -23.544246)
3637899677,-23.5318065,-46.6134284,,1,,,POINT (-46.6134284 -23.5318065)
3637899678,-23.5323208,-46.6128384,,3,,,POINT (-46.6128384 -23.5323208)
3637899679,-23.5319182,-46.6136326,,1,,,POINT (-46.6136326 -23.5319182)
3637899680,-23.5324711,-46.6129895,,3,,,POINT (-46.6129895 -23.5324711)
3666585047,-23.5544368,-46.6112433,,3,,,POINT (-46.6112433 -23.5544368)
3670918277,-23.5565473,-46.598648,,3,,,POINT (-46.598648 -23.5565473)
3697861201,-23.5216893,-46.6387995,,3,,,POINT (-46.6387995 -23.5216893)
3697861202,-23.5216278,-46.6387067,,4,,,POINT (-46.6387067 -23.5216278)
3697896263,-23.5242212,-46.6414916,,4,,,POINT (-46.6414916 -23.5242212)
3701154929,-23.5434874,-46.6195265,,3,,,POINT (-46.6195265 -23.5434874)
3712576654,-23.5647418,-46.6115473,traffic_signals,4,,,POINT (-46.6115473 -23.5647418)
3712576655,-23.5647057,-46.6114307,,3,,,POINT (-46.6114307 -23.5647057)
3712576659,-23.5637437,-46.6117139,traffic_signals,4,,,POINT (-46.6117139 -23.5637437)
3713147144,-23.5490354,-46.633657,traffic_signals,3,,,POINT (-46.633657 -23.5490354)
3713147155,-23.5494387,-46.6331864,traffic_signals,3,,,POINT (-46.6331864 -23.5494387)
3713156706,-23.5513823,-46.6335006,,3,,,POINT (-46.6335006 -23.5513823)
3713156708,-23.550075,-46.6328769,,1,,,POINT (-46.6328769 -23.550075)
3731405195,-23.5644065,-46.6569042,,3,,,POINT (-46.6569042 -23.5644065)
3738626452,-23.5443448,-46.6341468,traffic_signals,3,,,POINT (-46.6341468 -23.5443448)
3757650387,-23.5500724,-46.6341114,traffic_signals,3,,,POINT (-46.6341114 -23.5500724)
3775883712,-23.5581229,-46.6038181,,3,,,POINT (-46.6038181 -23.5581229)
