osmid,y,x,street_count,highway,junction,railway,geometry
178879594,48.8915178,2.3364918,3,,,,POINT (2.3364918 48.8915178)
178880787,48.8949577,2.3280915,4,,,,POINT (2.3280915 48.8949577)
178880823,48.893865,2.325618,3,,,,POINT (2.325618 48.893865)
178882042,48.8958431,2.3267322,4,,,,POINT (2.3267322 48.8958431)
178888599,48.8555157,2.3698925,4,,,,POINT (2.3698925 48.8555157)
178888999,48.8619235,2.3645917,6,traffic_signals,,,POINT (2.3645917 48.8619235)
178889521,48.8609603,2.3672613,3,,,,POINT (2.3672613 48.8609603)
185876056,48.8596182,2.2877384,3,,,,POINT (2.2877384 48.8596182)
185876212,48.8592116,2.2883536,3,,,,POINT (2.2883536 48.8592116)
185876213,48.8588251,2.2889672,3,,,,POINT (2.2889672 48.8588251)
185883894,48.8623024,2.3019543,4,,,,POINT (2.3019543 48.8623024)
186658078,48.8764431,2.3461822,3,,,,POINT (2.3461822 48.8764431)
186702854,48.8890459,2.3481452,4,,,,POINT (2.3481452 48.8890459)
190812774,48.8404347,2.3150844,4,,,,POINT (2.3150844 48.8404347)
190818547,48.8394721,2.3095261,4,traffic_signals,,,POINT (2.3095261 48.8394721)
191744889,48.8396445,2.3015874,3,traffic_signals,,,POINT (2.3015874 48.8396445)
192482737,48.8844116,2.3441377,3,,,,POINT (2.3441377 48.8844116)
192483086,48.8853047,2.3444322,3,,,,POINT (2.3444322 48.8853047)
194188545,48.8522946,2.3889933,3,,,,POINT (2.3889933 48.8522946)
194188548,48.8530004,2.3864908,3,,,,POINT (2.3864908 48.8530004)
194211512,48.8553314,2.3951111,3,,,,POINT (2.3951111 48.8553314)
195393625,48.8562262,2.3882803,3,,,,POINT (2.3882803 48.8562262)
195393628,48.8557603,2.3864555,3,,,,POINT (2.3864555 48.8557603)
195399361,48.8598889,2.3890049,3,,,,POINT (2.3890049 48.8598889)
195408460,48.8491608,2.3747732,3,,,,POINT (2.3747732 48.8491608)
195867993,48.8533843,2.3882138,3,,,,POINT (2.3882138 48.8533843)
199182646,48.8567337,2.3826439,3,,,,POINT (2.3826439 48.8567337)
199183487,48.8579895,2.3815647,3,,,,POINT (2.3815647 48.8579895)
199624817,48.8559326,2.3923567,3,,,,POINT (2.3923567 48.8559326)
199624819,48.8549817,2.3934843,3,,,,POINT (2.3934843 48.8549817)
201615482,48.8420802,2.3130042,4,traffic_signals,,,POINT (2.3130042 48.8420802)
201646527,48.8952791,2.3719452,4,,,,POINT (2.3719452 48.8952791)
201646642,48.8934931,2.3767674,4,,,,POINT (2.3767674 48.8934931)
201646773,48.8924272,2.3788995,4,,,,POINT (2.3788995 48.8924272)
201647463,48.8921563,2.3750776,4,,,,POINT (2.3750776 48.8921563)
201647464,48.8910811,2.3737192,4,,,,POINT (2.3737192 48.8910811)
201647513,48.8913515,2.3722417,3,,,,POINT (2.3722417 48.8913515)
201647682,48.8905874,2.3765114,3,crossing,,,POINT (2.3765114 48.8905874)
201971295,48.8858084,2.3706416,4,,,,POINT (2.3706416 48.8858084)
201971298,48.8857016,2.3708431,3,,,,POINT (2.3708431 48.8857016)
201980162,48.887349,2.3728571,3,,,,POINT (2.3728571 48.887349)
201980257,48.8866744,2.3745418,3,traffic_signals,,,POINT (2.3745418 48.8866744)
201981889,48.8878856,2.3735183,3,,,,POINT (2.3735183 48.8878856)
201987686,48.8871328,2.3754844,3,,,,POINT (2.3754844 48.8871328)
201988034,48.8898349,2.3759602,3,,,,POINT (2.3759602 48.8898349)
202041972,48.8887952,2.3931079,3,,,,POINT (2.3931079 48.8887952)
202043454,48.888921,2.3885702,4,,,,POINT (2.3885702 48.888921)
202044887,48.882257,2.3933772,4,,,,POINT (2.3933772 48.882257)
