u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122807818,123310162,0,"[13435906, 1331117331, 13318142]",,residential,2,False,False,180.10190345750888,,"LINESTRING (-118.2067834 34.0522842, -118.2065352 34.0526631, -118.2063082 34.0530098, -118.2062588 34.0530531, -118.2061858 34.0530691, -118.2055151 34.0530949, -118.2054447 34.0530968, -118.2053761 34.053089)",180.10190345750888,1.4472007610229418,0.0003066126019952,"['Barlow Street', 'Cornwell Street']",,,,,,C
122807818,122945894,0,"[1331407272, 13419642]",,residential,,False,True,187.1892004396892,,"LINESTRING (-118.2067834 34.0522842, -118.2076407 34.0526671, -118.2085321 34.0530651, -118.208572 34.0530829)",187.1892004396892,1.7680945662063368,0.0006673125831204,Judson Street,,,,,,C
122813979,10982033327,0,161830827,,other,2,False,False,62.706805935936046,,"LINESTRING (-118.236489 34.0457339, -118.2364116 34.0456744, -118.2362757 34.0455473, -118.236024 34.0453225)",62.706805935936046,1.7653526824294752,0.0146560353939352,Traction Avenue,,,,,,C
122813979,69091917,0,161830830,,other,2,False,True,79.16835814853125,,"LINESTRING (-118.236489 34.0457339, -118.2365775 34.0458021, -118.2370228 34.0461813, -118.2370927 34.0462404)",79.16835814853125,1.5146841774523794,0.0005310664163652,Traction Avenue,,,,,,C
122813979,122954790,0,518189794,,other,2,False,False,54.745780637423785,,"LINESTRING (-118.236489 34.0457339, -118.2365867 34.0457278, -118.2370755 34.045657)",54.745780637423785,1.34632550198767,0.0078224092292213,East 3rd Street,,,,,,C
122813979,9509577227,0,607576343,,other,2,False,True,34.10431085496383,,"LINESTRING (-118.236489 34.0457339, -118.2363822 34.045752, -118.2361243 34.045786)",34.10431085496383,1.79584843968772,0.0010074581856403,East 3rd Street,,,,,,C
122814232,122814235,0,13319209,,other,,False,False,114.81213411264989,,"LINESTRING (-118.2698172 34.0231016, -118.2709128 34.0235931)",114.81213411264989,1.727245073054135,0.0002468287236517,West 28th Street,,,,,,C
122814232,123120160,0,398523886,,secondary,4,False,False,23.62872664800195,30 mph,"LINESTRING (-118.2698172 34.0231016, -118.2696917 34.0232869)",23.62872664800195,1.5037857361312843,0.0045209649376362,South Main Street,,,,,,B
122814232,4012726928,0,"[403672888, 398523878, 403672902]",,secondary,"['4', '5']",False,True,71.56155975276536,30 mph,"LINESTRING (-118.2698172 34.0231016, -118.2699465 34.0228869, -118.270042 34.022737, -118.2701739 34.02253)",71.56155975276536,1.5402683327140347,0.0058400275029331,South Main Street,,,,,,B
122814235,122814237,0,13319209,,other,,False,False,112.96702673486875,,"LINESTRING (-118.2709128 34.0235931, -118.2719908 34.0240767)",112.96702673486875,1.6774550255488172,0.0002886422024145,West 28th Street,,,,,,C
